"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","condition_num","success","timeout","failed_images","failed_audio","failed_video","question_order","slider_start","practiceTrial","practiceTrialNum","correct","concept","texture_id","ishihara_plate","correct_response"
145247,"Welcome to our experiment!<p>At the bottom of this screen, you will see a button that says ""Begin Experiment"".<br>Please only click that button when you are ready to complete the 30 minute experiment in one sitting.</p><p> Once you click that button, it will not be possible to restart the experiment.","0","html-button-response",0,145249,"0.0-0.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"","","preload",1,182501,"0.0-1.0","bpgzchgkcf",18,"true","false","[]","[]","[]","",NA,"",NA,"","","",NA,NA
4211,"","","fullscreen",2,187718,"0.0-2.0","bpgzchgkcf",18,"true","","","","","",NA,"",NA,"","","",NA,NA
78358,"","{""Consent"":[""<strong>I consent</strong>""]}","survey-multi-select",3,266077,"0.0-3.0","bpgzchgkcf",18,"","","","","","[0]",NA,"",NA,"","","",NA,NA
12460,"Welcome! <p> This experiment involves two parts: demographic information, followed by the experimental task.<p> It will take about 30 minutes to complete both parts.","0","html-button-response",4,278538,"0.0-4.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
24617,"","{""Age"":""20"",""Gender"":""female"",""Race/ethnicity"":""Asian"",""Languages"":""Chinese, English""}","survey-text",5,303158,"0.0-5.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
93690,"
                        <div>
                            <div style='text-align:left; font-size:18px; line-height:25px; width: 1300px;'>
                                During this experiment you will be asked to rate how much you associate charts with                                different concepts. Below, you can see some examples of the charts you will be asked to rate. Above the charts
                                is the list of concepts. You will be asked
                                to rate how much you associate each chart with each concept on a scale from 'not at all' to 'very much' like the
                                one below. <br>

                        <div style=""text-align: left; width: 1300px;"">
                            <p style=""font-size:18px; line-height:20px; text-align:center; font-weight:bold"">
                                Sad, Happy, Angry, Disgust, Fearful
                            </p>
                        </div>

                        <div style=""display: flex; justify-content: center; width: 100%;"">
                            <div style=""
                                display: grid;
                                grid-template-columns: repeat(5, 1fr);
                                gap: 8px;
                                padding: 10px;
                                width: 900px;  
                                margin: 0 auto;
                            "">
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_angry_lo_lo_1_tab20c_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_sad_hi_hi_1_tab20_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_disgust_lo_lo_1_tab20c_decend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_angry_hi_hi_1_tab20_ascend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_happy_lo_lo_1_tab20b_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_fearful_lo_lo_1_Pastel1_decend_lgsm_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_happy_hi_hi_1_Set1_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_disgust_hi_hi_1_tab20b_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_sad_lo_lo_1_Set1_decend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                                    <div style=""width: 100%;"">
                                        <img src=""images/19_fearful_hi_hi_1_tab20b_ascend_smlg_bar.png"" style=""width: 100%; height: auto; object-fit: contain;"">
                                    </div>
                                
                            </div>
                        </div>
                    </div>
                </div>
                    ","null","html-slider-response",6,396850,"0.0-6.0","bpgzchgkcf",18,"","","","","","",0,"true",NA,"","","",NA,NA
31641,"<div style=""width:1300px;""><p style=""text-align:left"">To move the slider, click and drag your cursor to the location of the scale where you would like to make your rating and then let go. When you let go of the slider, your response will be recorded and the next trial will begin. <br>
                    We are interested in your initial impressions of each chart for a given concept, so please go with your first intuition. 
                    Before you begin the experiment, there will be four training trials for you to practice using the slider. 
                     When you are ready to start the training trials, please click ""Continue"".</p><br></div>","0","html-button-response",7,428491,"0.0-7.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> right endpoint of the scale</p>

                                    </div>
                                </div>","200","html-slider-response",8,431585,"0.0-8.0-0.0","bpgzchgkcf",18,"","","","","","",0,"true",0,"true","","",NA,NA
1049,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",9,433136,"0.0-8.0-1.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider all the way to the <br> left endpoint of the scale</p>

                                    </div>
                                </div>","-200","html-slider-response",10,434308,"0.0-9.0-0.0","bpgzchgkcf",18,"","","","","","",0,"true",1,"true","","",NA,NA
1931,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",11,436740,"0.0-9.0-1.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and right endpoint of the scale</p>

                                    </div>
                                </div>","104","html-slider-response",12,439412,"0.0-10.0-0.0","bpgzchgkcf",18,"","","","","","",0,"true",2,"true","","",NA,NA
561,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",13,440474,"0.0-10.0-1.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                                    <p style=""font-size:25px;"">Please move the slider halfway between the center and left endpoint of the scale</p>

                                    </div>
                                </div>","-105","html-slider-response",14,441718,"0.0-11.0-0.0","bpgzchgkcf",18,"","","","","","",0,"true",3,"true","","",NA,NA
4926,"<p align='center'><b>Good job!</b> Click on 'Continue' to proceed.</p>","0","html-button-response",15,447147,"0.0-11.0-1.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
2332,"<p>Great job! You've completed the practice trials. Now you will begin the main task.</p>","0","html-button-response",16,449480,"0.0-12.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
3871,"<p>In this block of trials, you will be asked to rate how much you associate each texture with the concept</p >
                        <p style = 'font-size:150%; font-weight: bold'>Sad</p><br></br>","0","html-button-response",17,453351,"0.0-13.0","bpgzchgkcf",18,"","","","","","",NA,"",NA,"","","",NA,NA
NA,"<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >Sad</p>
                            <div style=""width:480px; margin: auto;"">
                                <img src=""images/19_sad_lo_lo_1_Set1_decend_smlg_bar.png"" width=""480"" height=""420"" style=""object-fit:contain;"">
                            </div>
                        </div>","-154","html-slider-response",18,458504,"0.0-14.0","bpgzchgkcf",18,"","","","","","",0,"",NA,"","Sad","images/19_sad_lo_lo_1_Set1_decend_smlg_bar.png",NA,NA
NA,"<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >Sad</p>
                            <div style=""width:480px; margin: auto;"">
                                <img src=""images/19_sad_hi_md_3_Accent_ascend_lgsm_bar.png"" width=""480"" height=""420"" style=""object-fit:contain;"">
                            </div>
                        </div>","41","html-slider-response",19,465146,"0.0-15.0","bpgzchgkcf",18,"","","","","","",0,"",NA,"","Sad","images/19_sad_hi_md_3_Accent_ascend_lgsm_bar.png",NA,NA
NA,"<div style=""width:500px;"">
                            <p style=""font-size:50px; font-weight:bold;""
                            >Sad</p>
                            <div style=""width:480px; margin: auto;"">
                                <img src=""images/19_sad_hi_lo_2_Set1_decend_lgsm_bar.png"" width=""480"" height=""420"" style=""object-fit:contain;"">
                            </div>
                        </div>","57","html-slider-response",20,485188,"0.0-16.0","bpgzchgkcf",18,"","","","","","",0,"",NA,"","Sad","images/19_sad_hi_lo_2_Set1_decend_lgsm_bar.png",NA,NA
